,Current Injected (pA),,,,,,,,,,,,,
Time (ms),800,850,900,950,1000,1050,,,,,,,,
0.10,-5.99E-02,-5.95E-02,-5.94E-02,-5.95E-02,-5.96E-02,-5.92E-02,,,,,,,,
0.20,-6.00E-02,-5.95E-02,-5.95E-02,-5.95E-02,-5.97E-02,-5.92E-02,,,,,,,,
0.30,-6.01E-02,-5.95E-02,-5.95E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
0.40,-6.01E-02,-5.96E-02,-5.94E-02,-5.95E-02,-5.97E-02,-5.92E-02,,,,,,,,
0.50,-5.99E-02,-5.94E-02,-5.96E-02,-5.97E-02,-5.97E-02,-5.92E-02,,,,,,,,
0.60,-6.00E-02,-5.95E-02,-5.94E-02,-5.95E-02,-5.97E-02,-5.93E-02,,,,,,,,
0.70,-6.00E-02,-5.96E-02,-5.95E-02,-5.95E-02,-5.96E-02,-5.90E-02,,,,,,,,
0.80,-6.00E-02,-5.94E-02,-5.93E-02,-5.96E-02,-5.97E-02,-5.91E-02,,,,,,,,
0.90,-5.99E-02,-5.95E-02,-5.95E-02,-5.97E-02,-5.97E-02,-5.92E-02,,,,,,,,
1.00,-6.00E-02,-5.95E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
1.10,-6.00E-02,-5.94E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
1.20,-6.01E-02,-5.95E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.91E-02,,,,,,,,
1.30,-5.98E-02,-5.95E-02,-5.93E-02,-5.96E-02,-5.97E-02,-5.91E-02,,,,,,,,
1.40,-5.99E-02,-5.94E-02,-5.93E-02,-5.97E-02,-5.95E-02,-5.92E-02,,,,,,,,
1.50,-5.99E-02,-5.94E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
1.60,-5.99E-02,-5.94E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.91E-02,,,,,,,,
1.70,-5.98E-02,-5.94E-02,-5.95E-02,-5.96E-02,-5.95E-02,-5.92E-02,,,,,,,,
1.80,-5.99E-02,-5.94E-02,-5.94E-02,-5.96E-02,-5.97E-02,-5.92E-02,,,,,,,,
1.90,-5.98E-02,-5.94E-02,-5.95E-02,-5.96E-02,-5.95E-02,-5.92E-02,,,,,,,,
2.00,-5.98E-02,-5.95E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
2.10,-5.98E-02,-5.94E-02,-5.94E-02,-5.96E-02,-5.96E-02,-5.92E-02,,,,,,,,
2.20,-5.99E-02,-5.93E-02,-5.95E-02,-5.97E-02,-5.96E-02,-5.93E-02,,,,,,,,
