	Step (mV)		Holding Potential: -120mV																		
Time (ms)	-90	-85	-80	-75	-70	-65	-60	-55	-50	-45	-40	-35	-30	-25	-20	-15	-10	-5	0	5	10
0	2.31E-11	1.70E-11	5.11E-11	1.69E-11	1.75E-11	2.65E-11	2.16E-11	1.68E-11	1.49E-11	1.99E-11	2.70E-11	2.60E-11	1.97E-11	2.39E-11	1.93E-11	1.46E-11	2.88E-11	2.84E-11	3.21E-11	1.14E-11	2.85E-11
0.05	2.62E-11	1.89E-11	4.05E-11	1.19E-11	1.87E-11	3.12E-11	2.38E-11	1.05E-11	1.43E-11	1.77E-11	2.61E-11	2.41E-11	2.25E-11	2.30E-11	1.96E-11	8.71E-12	3.16E-11	2.53E-11	2.68E-11	5.49E-12	1.63E-11
0.1	-3.79E-11	-5.30E-11	-3.49E-11	-5.68E-11	-5.29E-11	-3.85E-11	-4.50E-11	-6.29E-11	-5.88E-11	-5.29E-11	-4.74E-11	-5.06E-11	-4.84E-11	-4.92E-11	-4.66E-11	-6.16E-11	-4.28E-11	-5.10E-11	-5.01E-11	-7.20E-11	-6.16E-11
0.15	-2.92E-10	-3.12E-10	-3.03E-10	-3.17E-10	-3.18E-10	-3.10E-10	-3.15E-10	-3.26E-10	-3.20E-10	-3.05E-10	-3.19E-10	-3.24E-10	-3.24E-10	-3.16E-10	-3.09E-10	-3.37E-10	-3.30E-10	-3.36E-10	-3.32E-10	-3.54E-10	-3.44E-10
0.2	-5.23E-10	-5.41E-10	-5.38E-10	-5.44E-10	-5.53E-10	-5.50E-10	-5.59E-10	-5.53E-10	-5.55E-10	-5.31E-10	-5.57E-10	-5.62E-10	-5.66E-10	-5.55E-10	-5.50E-10	-5.78E-10	-5.77E-10	-5.81E-10	-5.77E-10	-5.98E-10	-5.93E-10
0.25	-4.97E-10	-5.12E-10	-5.08E-10	-5.16E-10	-5.21E-10	-5.11E-10	-5.29E-10	-5.20E-10	-5.21E-10	-5.11E-10	-5.28E-10	-5.31E-10	-5.35E-10	-5.25E-10	-5.25E-10	-5.41E-10	-5.36E-10	-5.43E-10	-5.50E-10	-5.54E-10	-5.60E-10
0.3	-2.98E-10	-3.11E-10	-3.07E-10	-3.27E-10	-3.15E-10	-2.99E-10	-3.26E-10	-3.16E-10	-3.15E-10	-3.13E-10	-3.24E-10	-3.19E-10	-3.21E-10	-3.23E-10	-3.26E-10	-3.30E-10	-3.20E-10	-3.29E-10	-3.38E-10	-3.35E-10	-3.45E-10
0.35	-1.02E-10	-1.12E-10	-1.06E-10	-1.32E-10	-1.12E-10	-9.23E-11	-1.22E-10	-1.17E-10	-1.07E-10	-1.06E-10	-1.21E-10	-1.07E-10	-1.06E-10	-1.15E-10	-1.18E-10	-1.18E-10	-1.08E-10	-1.16E-10	-1.18E-10	-1.16E-10	-1.27E-10
0.4	1.87E-11	1.02E-11	1.83E-11	4.42E-12	1.50E-11	2.77E-11	1.41E-11	1.02E-11	2.90E-11	3.08E-11	1.08E-11	3.56E-11	2.97E-11	2.05E-11	1.49E-11	1.90E-11	2.16E-11	2.34E-11	2.93E-11	2.33E-11	1.94E-11
0.45	7.90E-11	7.02E-11	7.80E-11	7.76E-11	7.09E-11	8.40E-11	8.57E-11	7.56E-11	8.93E-11	9.59E-11	7.67E-11	1.06E-10	1.01E-10	8.80E-11	7.43E-11	8.22E-11	7.82E-11	9.50E-11	1.01E-10	8.83E-11	9.38E-11
0.5	9.31E-11	9.21E-11	9.67E-11	1.05E-10	9.12E-11	1.02E-10	1.10E-10	9.78E-11	1.04E-10	1.21E-10	1.04E-10	1.20E-10	1.24E-10	1.10E-10	9.53E-11	9.78E-11	9.94E-11	1.11E-10	1.22E-10	1.01E-10	1.15E-10
0.55	7.62E-11	8.39E-11	9.23E-11	9.85E-11	8.66E-11	9.75E-11	1.06E-10	8.99E-11	9.21E-11	1.15E-10	9.89E-11	1.01E-10	1.15E-10	1.03E-10	8.90E-11	9.19E-11	9.88E-11	9.53E-11	1.16E-10	9.15E-11	1.06E-10
0.6	4.62E-11	5.64E-11	7.05E-11	6.41E-11	6.12E-11	7.18E-11	8.28E-11	6.77E-11	6.68E-11	8.30E-11	6.74E-11	6.88E-11	8.29E-11	7.80E-11	7.56E-11	7.75E-11	7.60E-11	7.28E-11	9.21E-11	7.36E-11	8.32E-11
0.65	1.25E-11	1.64E-11	3.98E-11	2.32E-11	2.53E-11	3.78E-11	4.66E-11	3.74E-11	3.71E-11	4.21E-11	2.95E-11	2.50E-11	4.22E-11	4.40E-11	4.87E-11	4.53E-11	4.16E-11	4.78E-11	5.62E-11	4.43E-11	5.22E-11
0.7	-2.76E-11	-2.20E-11	3.57E-12	-9.33E-12	-1.57E-11	2.41E-13	3.14E-12	-2.27E-12	4.62E-12	-2.91E-12	-4.85E-12	-2.19E-11	-2.47E-12	5.19E-12	7.12E-12	-1.92E-12	7.51E-12	1.56E-11	1.84E-11	-7.61E-13	1.63E-11
0.75	-6.54E-11	-5.80E-11	-3.49E-11	-3.65E-11	-6.00E-11	-3.85E-11	-4.16E-11	-4.76E-11	-2.66E-11	-5.26E-11	-4.05E-11	-5.75E-11	-4.37E-11	-3.92E-11	-3.66E-11	-4.51E-11	-2.28E-11	-2.19E-11	-2.16E-11	-5.05E-11	-2.15E-11
0.8	-9.85E-11	-9.27E-11	-7.27E-11	-6.78E-11	-1.01E-10	-7.23E-11	-8.22E-11	-8.76E-11	-5.79E-11	-9.45E-11	-7.42E-11	-7.94E-11	-7.75E-11	-7.36E-11	-8.04E-11	-8.63E-11	-5.53E-11	-6.19E-11	-5.98E-11	-9.05E-11	-5.41E-11
0.85	-1.18E-10	-1.15E-10	-1.02E-10	-1.03E-10	-1.28E-10	-1.05E-10	-1.14E-10	-1.18E-10	-8.85E-11	-1.20E-10	-1.03E-10	-9.88E-11	-1.08E-10	-1.08E-10	-1.16E-10	-1.17E-10	-8.94E-11	-9.41E-11	-9.26E-11	-1.20E-10	-9.00E-11
0.9	-1.32E-10	-1.34E-10	-1.25E-10	-1.34E-10	-1.39E-10	-1.29E-10	-1.35E-10	-1.41E-10	-1.16E-10	-1.38E-10	-1.22E-10	-1.15E-10	-1.34E-10	-1.41E-10	-1.41E-10	-1.36E-10	-1.21E-10	-1.26E-10	-1.22E-10	-1.34E-10	-1.31E-10
0.95	-1.43E-10	-1.45E-10	-1.42E-10	-1.50E-10	-1.52E-10	-1.44E-10	-1.51E-10	-1.50E-10	-1.36E-10	-1.44E-10	-1.34E-10	-1.36E-10	-1.56E-10	-1.63E-10	-1.51E-10	-1.53E-10	-1.45E-10	-1.48E-10	-1.42E-10	-1.43E-10	-1.55E-10
1	-1.52E-10	-1.49E-10	-1.56E-10	-1.49E-10	-1.60E-10	-1.52E-10	-1.52E-10	-1.54E-10	-1.51E-10	-1.45E-10	-1.47E-10	-1.50E-10	-1.63E-10	-1.68E-10	-1.52E-10	-1.60E-10	-1.54E-10	-1.53E-10	-1.55E-10	-1.49E-10	-1.58E-10
1.05	-1.52E-10	-1.55E-10	-1.65E-10	-1.48E-10	-1.61E-10	-1.49E-10	-1.44E-10	-1.55E-10	-1.60E-10	-1.46E-10	-1.55E-10	-1.55E-10	-1.64E-10	-1.62E-10	-1.53E-10	-1.64E-10	-1.49E-10	-1.56E-10	-1.54E-10	-1.50E-10	-1.50E-10
1.1	-1.49E-10	-1.56E-10	-1.64E-10	-1.47E-10	-1.52E-10	-1.42E-10	-1.40E-10	-1.56E-10	-1.55E-10	-1.39E-10	-1.51E-10	-1.50E-10	-1.62E-10	-1.55E-10	-1.56E-10	-1.69E-10	-1.45E-10	-1.61E-10	-1.47E-10	-1.49E-10	-1.47E-10
