,Pre-pulse (mV),,Holding Potential: -120mV,,,,,,,,,,,,,,,,,,,,
Time (ms),-120,-115,-110,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20,-15,-10
0.00,-7.37E-13,-3.68E-12,-2.92E-12,-1.12E-11,1.63E-12,4.25E-12,1.05E-11,1.49E-11,1.30E-11,3.05E-12,5.06E-12,3.37E-12,3.08E-12,-9.83E-12,2.95E-12,3.50E-12,-1.02E-11,3.98E-12,3.46E-12,2.38E-13,-4.37E-12,1.14E-11,1.38E-11
0.05,-5.11E-12,-9.62E-12,-1.36E-12,-4.37E-12,-4.31E-12,9.25E-12,8.03E-12,9.59E-12,1.51E-11,5.86E-12,-2.44E-12,2.47E-13,-1.61E-12,-7.64E-12,2.95E-12,6.94E-12,-9.28E-12,-1.96E-12,5.97E-12,-1.33E-12,-9.37E-12,1.08E-11,8.81E-12
0.10,2.70E-12,-9.31E-12,-5.11E-12,-9.34E-13,-4.00E-12,1.11E-11,3.34E-12,9.59E-12,8.58E-12,2.35E-13,-9.63E-12,-1.63E-12,-1.93E-12,-3.89E-12,7.32E-12,6.63E-12,-9.28E-12,4.61E-12,3.46E-12,8.63E-13,-3.12E-12,1.11E-11,2.24E-12
0.15,9.27E-12,-1.81E-12,-8.86E-12,-1.87E-12,-1.18E-12,3.00E-12,-2.28E-12,1.77E-11,6.40E-12,-5.70E-12,-9.94E-12,-1.94E-12,4.33E-12,2.36E-12,9.20E-12,2.25E-12,-8.03E-12,1.21E-11,-3.10E-12,7.43E-12,4.07E-12,5.76E-12,1.62E-12
0.20,1.36E-11,5.07E-12,-8.55E-12,-2.18E-12,-7.12E-12,-4.51E-12,-2.91E-12,2.33E-11,4.52E-12,-6.02E-12,-5.25E-12,2.47E-13,9.01E-12,6.74E-12,9.51E-12,6.00E-12,-4.59E-12,2.21E-11,-6.23E-12,4.61E-12,2.20E-12,-2.99E-12,-1.20E-12
0.25,1.68E-11,6.32E-12,-6.98E-12,1.25E-12,-1.28E-11,-3.25E-12,2.41E-12,2.46E-11,7.70E-13,8.60E-13,-2.49E-13,8.72E-13,1.31E-11,7.05E-12,8.89E-12,5.69E-12,-4.90E-12,2.55E-11,6.52E-13,-3.20E-12,-1.87E-12,-1.02E-11,-4.01E-12
0.30,1.18E-11,5.07E-12,-7.61E-12,1.25E-12,-1.24E-11,5.19E-12,4.91E-12,2.30E-11,6.71E-12,5.24E-12,-2.75E-12,3.69E-12,1.31E-11,1.76E-13,4.20E-12,2.88E-12,-9.28E-12,1.27E-11,6.90E-12,-1.01E-11,-9.37E-12,-9.87E-12,-8.07E-12
0.35,1.14E-12,4.76E-12,-7.92E-12,4.07E-12,-1.53E-11,1.17E-11,1.78E-12,2.08E-11,9.83E-12,3.99E-12,-1.15E-11,-1.00E-12,1.09E-11,-4.83E-12,3.26E-12,6.63E-12,-1.49E-11,6.48E-12,6.28E-12,-8.20E-12,-1.41E-11,-6.12E-12,-1.21E-11
0.40,-1.11E-11,2.57E-12,-4.79E-12,4.38E-12,-1.34E-11,1.46E-11,5.31E-13,1.90E-11,4.83E-12,1.80E-12,-1.90E-11,-1.19E-11,1.87E-11,-2.64E-12,7.32E-12,1.23E-11,-1.49E-11,6.48E-12,6.59E-12,-4.76E-12,-4.99E-12,-4.55E-12,-7.45E-12
