Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
111,0.06761,1.66319,1.85173,3.444879,13.449961,3.166622,1.935506,0.177864
152,0.093867,1.914979,1.143702,3.757548,1.433731,2.842375,0.530007,0.175101
379,0.134247,1.060926,2.074142,2.654127,3.037537,2.851567,1.333806,0.028538
380,0.198036,0.8146,1.619752,1.366257,7.657379,3.922353,1.685269,0.161021
405,0.378188,0.58279,0.790357,1.248439,2.180009,1.409434,1.76603,0.098938
477,0.098128,0.955044,3.121924,1.820469,11.050632,3.895415,1.987734,0.065635
519,0.310983,1.361874,3.853014,2.297307,5.202354,3.238226,1.884847,0.103654
537,0.142507,1.528759,1.249825,2.999664,2.701544,3.301234,0.282977,0.151567
617,0.274811,1.327152,2.936299,3.203651,13.296801,1.563514,1.544007,0.093935
653,0.184509,1.016386,1.590697,3.076749,1.051418,1.561576,0.971583,0.125368
656,0.269827,1.013561,0.754972,2.179079,2.765084,3.278753,0.843085,0.139232
702,0.337245,1.167562,3.590794,2.801051,7.970042,3.264131,1.562485,0.088922
758,0.230319,0.873291,2.704437,2.904677,2.956765,0.893691,0.133212,0.017475
783,0.135733,1.152994,0.046454,2.671305,17.720498,1.022784,1.950005,0.029633
806,0.263993,1.033242,3.496191,3.141481,8.405223,2.139625,0.798929,0.149142
893,0.264654,1.656089,3.565138,3.165556,5.168103,3.739076,1.067206,0.041901
930,0.012761,1.586455,1.865929,3.913938,4.255466,2.493704,0.701852,0.139457
1089,0.329243,0.727149,0.694043,1.33995,4.826048,0.135845,1.226359,0.17673
1134,0.342974,1.319945,0.204126,2.943431,2.85225,2.500803,0.347007,0.043028
1198,0.09504,1.515231,3.823804,2.962955,2.565221,3.380782,0.770462,0.164238
1281,0.153595,1.634705,3.544358,3.104072,7.019484,3.203288,0.552391,0.056002
1282,0.271497,1.308862,2.28975,3.375157,4.720772,0.739028,1.763448,0.139788
1287,0.089639,1.556058,0.55949,3.603344,11.154935,1.665256,1.83231,0.196457
1322,0.2409,1.238593,2.875015,3.068022,12.654201,3.604915,1.589937,0.187059
1346,0.130375,1.391472,0.16354,2.594331,12.871732,2.520516,1.397586,0.037358
1440,0.331724,1.428864,0.797778,2.991025,13.516242,2.228053,1.863785,0.157745
1575,0.007663,0.781821,3.892108,1.799229,1.071628,2.574152,0.111583,0.018423
1628,0.06774,1.539209,3.952636,2.951584,12.807318,2.963896,1.699681,0.096288
1630,0.001414,1.405731,0.081105,3.447814,16.674773,0.328888,1.667555,0.002889
1654,0.230901,1.343621,0.025393,3.787855,5.802457,3.768157,1.192455,0.079616
1763,0.253191,1.136761,1.51194,2.611695,14.166194,3.259202,1.345122,0.005922
1891,0.277737,0.912193,3.965976,1.875494,5.45304,3.406187,1.786585,0.092073
1917,0.137188,2.071737,2.381406,3.815496,3.415283,3.10052,0.792016,0.139485
1993,0.293739,1.258491,2.745932,3.914224,11.997247,0.027454,0.846806,0.127809
2043,0.186705,1.653221,0.957023,3.901171,15.182537,0.805343,1.771511,0.118786
2048,0.38563,1.130479,0.061055,2.081001,4.802616,3.69547,0.95668,0.028176
2051,0.033533,0.925205,1.937368,1.564138,13.539605,1.543798,1.900406,0.145866
2067,0.28459,1.440912,2.307822,3.917302,2.652499,1.871988,1.073296,0.173409
2080,0.162884,0.9162,0.353175,2.318211,8.236348,2.836191,1.838577,0.16987
