# nonuniform scaling factors - GNav17: (0.0 0.4) GNav18: (0.0 4.0) GNav19: (0.0 4.0) GKdr: (0.0 4.0) GKA: (0.0 40.0) GKM: (0.0 4.0) GH: (0.0 2.0) GKleak: (0.0 0.2) 
,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
0,0.292599,0.401508,1.060552,3.481469,6.076143,3.24049,0.764282,0.158896
1,0.26649,1.383609,2.306493,1.990459,14.954063,2.612375,1.025592,0.195716
2,0.365994,0.915532,1.28598,0.387139,22.398329,2.894271,0.674782,0.187238
3,0.225497,1.021684,1.64332,2.888972,1.233075,2.315821,0.910656,0.062821
4,0.156548,3.817995,0.77893,0.063124,9.652173,0.190326,0.682217,0.162162
5,0.288741,0.663866,1.114709,2.432604,11.395877,0.540108,0.025956,0.103621
6,0.274075,0.316531,0.192345,3.898486,10.558454,1.146269,0.460983,0.074009
7,0.123494,3.361025,3.908546,1.612871,34.637805,3.481866,1.442941,0.164593
8,0.148162,1.947397,3.120449,0.124388,16.850401,0.484513,0.305807,0.140545
9,0.026007,0.035687,1.623315,0.284646,32.275831,3.867598,0.161009,0.031799
10,0.059094,0.729061,1.524655,2.380044,13.961648,1.925507,0.484023,0.193402
11,0.046966,0.389686,3.043954,0.25198,24.40344,2.796102,0.955409,0.111492
12,0.297926,1.912211,1.204259,2.806582,22.579585,3.829235,1.423986,0.197819
13,0.102015,0.549003,2.571264,1.549989,25.186201,2.425906,0.147291,0.017231
14,0.397747,3.787525,0.146279,1.057477,0.427685,2.949397,0.273114,0.180216
15,0.072104,0.63341,3.648226,1.378166,14.069461,2.115876,0.38607,0.035186
16,0.220895,0.967822,2.408743,1.817846,20.913585,1.748099,1.88601,0.086787
17,0.242196,1.211336,1.030589,0.012469,7.857348,0.040838,0.505886,0.126443
18,0.01546,3.264885,2.711758,2.991735,36.926307,0.222701,0.962782,0.154739
19,0.333558,0.495921,3.270374,3.381722,12.619207,2.017407,1.589984,0.024072
20,0.087674,2.148027,1.263471,1.320927,21.908194,1.236067,1.607941,0.19832
21,0.306713,2.043595,3.563342,1.153032,15.674309,3.21408,0.627363,0.189471
22,0.028612,1.777432,0.691638,0.501696,14.410949,3.12811,0.101269,0.171621
