Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
1,0.06761,1.6631900000000002,1.8517299999999999,3.4448790000000002,13.449960999999998,3.1666220000000003,1.9355060000000002,0.17786400000000002
2,0.09386699999999999,1.914979,1.143702,3.7575480000000003,1.4337309999999999,2.842375,0.530007,0.175101
3,0.134247,1.060926,2.0741419999999997,2.654127,3.037537,2.8515669999999997,1.333806,0.028538
4,0.198036,0.8146,1.619752,1.366257,7.657379,3.9223529999999998,1.685269,0.161021
5,0.378188,0.5827899999999999,0.790357,1.2484389999999999,2.180009,1.409434,1.76603,0.098938
6,0.09812799999999999,0.955044,3.1219240000000004,1.820469,11.050632,3.8954150000000003,1.9877340000000001,0.065635
7,0.310983,1.361874,3.853014,2.297307,5.202354,3.238226,1.8848470000000002,0.103654
8,0.142507,1.528759,1.249825,2.999664,2.7015439999999997,3.3012339999999996,0.282977,0.151567
9,0.274811,1.327152,2.936299,3.203651,13.296801,1.5635139999999998,1.544007,0.093935
10,0.18450899999999998,1.016386,1.590697,3.076749,1.051418,1.561576,0.971583,0.125368
11,0.269827,1.0135610000000002,0.754972,2.179079,2.765084,3.278753,0.8430850000000001,0.139232
12,0.33724499999999996,1.167562,3.5907940000000003,2.8010509999999997,7.970041999999999,3.2641310000000003,1.5624850000000001,0.088922
13,0.230319,0.873291,2.704437,2.904677,2.9567650000000003,0.893691,0.133212,0.017475
14,0.135733,1.152994,0.046454,2.671305,17.720498000000003,1.022784,1.950005,0.029633
15,0.263993,1.033242,3.4961910000000005,3.141481,8.405223,2.139625,0.798929,0.149142
16,0.264654,1.656089,3.5651379999999997,3.165556,5.1681029999999994,3.7390760000000003,1.0672059999999999,0.041901
17,0.012761,1.586455,1.8659290000000002,3.913938,4.255466,2.493704,0.701852,0.139457
18,0.329243,0.7271489999999999,0.6940430000000001,1.33995,4.826048,0.135845,1.226359,0.17673
19,0.342974,1.3199450000000001,0.204126,2.9434310000000004,2.85225,2.500803,0.347007,0.043028
20,0.09504,1.515231,3.823804,2.962955,2.5652209999999998,3.380782,0.770462,0.16423800000000002
21,0.153595,1.6347049999999999,3.5443580000000003,3.104072,7.019483999999999,3.203288,0.552391,0.056001999999999996
22,0.271497,1.308862,2.28975,3.375157,4.720772,0.739028,1.763448,0.13978800000000002
