# nonuniform scaling factors - GNav17: (0.0 0.4) GNav18: (0.0 4.0) GNav19: (0.0 4.0) GKdr: (0.0 4.0) GKA: (0.0 40.0) GKM: (0.0 4.0) GH: (0.0 2.0) GKleak: (0.0 0.2) 
,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
0,0.044808,3.715455,3.411799,0.214866,27.111343,0.73521,0.025274,0.074621
1,0.159208,1.641652,3.87693,2.115015,13.746398,3.407182,1.747117,0.057454
2,0.039172,2.23906,2.681604,1.347354,26.962218,3.186235,0.920589,0.134236
3,0.339064,1.42933,2.752041,2.439886,15.174382,0.364063,0.907822,0.1606
4,0.028326,1.15025,2.001392,0.819641,2.152264,2.46405,0.246387,0.155634
5,0.300131,0.75485,2.124741,0.249786,22.663665,3.012536,0.909534,0.160432
6,0.165918,0.972083,0.051319,3.899911,14.444851,0.902826,1.557179,0.019084
7,0.149465,2.457729,1.179032,3.042762,1.147103,1.706193,1.684148,0.018756
8,0.270393,3.103134,3.210125,1.936681,22.646443,2.358256,1.677468,0.084247
9,0.365935,2.408317,0.638535,1.868684,37.198521,3.281909,1.158446,0.145244
10,0.013292,3.609071,0.327554,2.273028,3.106828,1.441811,0.764891,0.101295
11,0.043992,1.915282,2.531193,3.176712,27.377641,1.351564,1.165867,0.076447
12,0.16954,3.66953,0.288306,0.115729,9.430565,2.859542,1.978463,0.108106
13,0.267942,2.93971,1.420369,3.430892,1.58936,1.275123,0.822785,0.139958
14,0.000883,2.181013,0.125226,3.065053,27.245537,1.419678,1.901088,0.168206
15,0.310898,3.973495,3.95433,0.317095,4.264558,1.801925,1.438928,0.029926
16,0.009619,0.227727,1.868724,0.480182,28.82586,3.982434,0.719923,0.002558
17,0.217696,0.334852,1.087239,0.650127,37.755712,1.74352,0.187773,0.08303
18,0.118271,0.392021,0.318711,3.119865,7.099156,0.598113,0.382977,0.16647
19,0.212678,2.894993,2.633956,2.831248,16.998008,0.522316,1.737849,0.103412
20,0.370152,1.672759,1.496874,2.954995,9.853682,1.628772,1.269994,0.099516
21,0.05222,2.568062,3.625033,1.408518,36.713987,0.751863,0.735937,0.006444
22,0.373817,2.546484,1.11754,1.135749,28.464423,2.002858,0.557256,0.126315
23,0.060203,2.223781,2.260534,1.242232,31.490443,1.401815,0.759556,0.081667
24,0.308582,0.48831,2.597414,1.201276,25.430184,1.479173,1.868116,0.109509
25,0.053177,3.697877,3.500491,1.031351,35.364618,3.102571,1.185229,0.162371
26,0.218435,1.181983,0.231484,2.539172,33.844377,2.23777,1.415885,0.085292
27,0.138316,2.284104,0.651771,0.544861,12.123597,1.613392,0.469574,0.197317
28,0.152966,3.001003,2.761498,1.336746,39.555204,0.785424,0.286431,0.10793
29,0.390437,2.57613,3.322494,3.332615,25.969106,0.224222,1.440611,0.065296
30,0.301506,0.127857,3.592885,2.362396,17.636156,2.139576,0.514092,0.122536
31,0.380812,0.538294,3.001703,3.870909,10.192843,1.383581,1.914781,0.120859
32,0.074429,3.144954,0.48212,2.316433,2.282122,1.604818,1.859721,0.10003
33,0.164567,1.474292,2.292254,3.473015,29.808743,0.991035,0.357559,0.057962
34,0.249237,3.530864,2.991895,3.22072,38.447501,0.418636,0.397982,0.069725
35,0.248012,3.967781,1.132814,3.347756,2.727574,1.470703,0.703506,0.154337
36,0.189413,0.145081,3.996416,3.726294,14.191575,3.880285,0.502666,0.014047
37,0.240346,0.960939,1.139619,1.438736,15.896847,0.056964,1.911874,0.10083
38,0.172787,3.329842,2.645033,2.957872,34.503973,0.488397,0.587792,0.15004
39,0.03093,3.928821,1.323435,3.894932,30.195217,1.320587,0.62523,0.06098
40,0.252093,3.401416,1.699455,2.863955,35.353029,2.048341,0.19166,0.193483
41,0.031256,0.456948,1.710214,3.753221,33.202789,3.667094,0.852706,0.1385
42,0.254424,3.692231,1.846925,1.765628,4.202462,0.678055,1.573387,0.163742
43,0.196459,1.459021,1.181168,1.487285,0.644315,2.993293,1.383943,0.160862
44,0.069069,2.246616,1.300913,3.146901,20.464904,1.154309,0.301388,0.133422
45,0.09422,3.272988,2.895182,2.174705,25.821478,0.442859,0.751891,0.152124
46,0.374009,2.883016,3.398642,0.174221,34.856919,0.164241,1.328671,0.156347
47,0.249569,0.708213,3.03158,0.431322,20.615952,1.688886,0.373968,0.009126
48,0.151501,3.196975,0.93814,0.007953,6.983662,3.752702,1.987247,0.031569
49,0.333282,2.861216,2.909582,2.609431,2.381038,3.662139,0.67921,0.065968
50,0.12406,3.084703,1.64722,3.715931,20.334902,0.414751,1.934101,0.04036
51,0.117163,1.103787,0.775273,0.751546,3.817089,0.061558,1.480499,0.171994
52,0.117235,2.014345,3.999648,2.859751,17.768438,2.655744,0.111726,0.12981
53,0.35157,2.46369,1.440965,0.437909,38.894685,3.282376,0.986979,0.193097
54,0.130402,2.658816,0.267058,1.690967,24.939066,2.078894,0.268187,0.118559
55,0.23865,0.640378,2.755706,3.654161,21.403129,2.363429,0.220089,0.090027
56,0.078345,1.389938,2.128992,1.359955,28.89094,0.424184,1.554766,0.168842
57,0.276045,2.098586,1.258739,2.865568,18.236298,3.332431,0.944161,0.1077
58,0.040946,2.396257,3.902051,2.184666,35.766317,2.947499,0.823667,0.077451
59,0.319955,2.142601,3.937291,1.329628,31.228468,3.274247,0.129092,0.175798
60,0.016797,0.491741,1.309838,0.363767,19.571916,3.575408,1.520639,0.000321
61,0.376661,0.994403,0.11218,3.816319,13.031974,1.593904,0.102473,0.003223
62,0.225049,0.622583,1.922021,2.548239,6.371782,0.885337,0.62029,0.137418
63,0.093486,3.101029,2.839986,3.734614,11.326186,0.374943,1.298767,0.080124
64,0.075841,0.669251,0.668453,0.654269,33.786514,1.727943,1.848211,0.034789
65,0.098131,3.869017,1.820845,2.832435,0.011985,0.858019,0.832525,0.135099
66,0.247626,0.476394,0.472966,3.627449,5.520649,0.685046,0.222011,0.117323
67,0.23497,2.360448,0.576475,0.442096,34.865459,1.608723,1.175686,0.103067
68,0.294501,2.41418,1.991257,3.6024,11.484518,3.980333,1.24999,0.193982
69,0.326991,1.413103,2.269652,0.147278,34.368736,1.710402,1.857653,0.173856
70,0.303833,1.244576,0.621193,2.019073,23.993325,0.256834,1.89437,0.134924
71,0.317389,1.247979,1.719871,2.740768,21.794775,0.791388,0.152147,0.131999
72,0.330082,3.283922,0.428276,2.790172,39.038803,0.120511,1.279896,0.155303
73,0.002619,1.980955,2.485764,2.177665,34.215092,2.369117,0.774246,0.150343
74,0.228913,1.703913,0.41237,1.27924,8.382661,1.963887,1.770127,0.003055
75,0.053219,1.540085,0.45166,3.089137,30.160965,1.901684,1.908873,0.054453
76,0.289939,2.526542,0.933407,0.542075,18.256741,2.340578,0.501295,0.05257
77,0.341297,3.707915,3.931838,3.712386,18.082802,1.047155,1.939822,0.149916
78,0.254945,3.269293,3.841143,2.143814,29.920511,2.174371,1.629854,0.051632
79,0.369603,3.483142,1.626298,3.438636,6.466728,0.644199,1.976847,0.105116
80,0.28758,3.621846,3.545729,0.076356,35.59318,3.001103,1.51938,0.020497
81,0.109803,1.745998,0.760466,1.828737,30.566702,3.037046,1.844813,0.184917
82,0.365773,0.13712,0.598001,1.946655,38.709369,0.736273,1.040998,0.072476
83,0.224165,3.107261,1.593424,0.186801,19.248531,3.161222,1.646543,0.039863
84,0.325306,2.886423,0.532772,0.593839,16.211962,3.378155,0.400955,0.039628
85,0.046182,1.37992,1.394212,2.84332,34.762895,3.336103,1.426517,0.016079
86,0.312194,1.063486,3.279358,0.802837,27.937918,1.511854,1.634086,0.19677
87,0.100729,0.60562,0.559691,0.521569,23.050551,0.029153,1.342888,0.122135
88,0.20082,0.436047,1.974996,2.319468,16.923528,0.451104,0.350672,0.055011
89,0.169167,3.783225,2.267564,3.151318,6.617192,1.918839,0.271576,0.057554
90,0.334524,0.930095,3.214445,2.964436,21.609516,1.436249,1.74877,0.106486
91,0.155506,1.077977,0.311883,3.599599,23.290411,0.715628,1.039822,0.084063
92,0.108312,0.187826,0.042439,2.882923,38.040854,3.864938,0.56659,0.082957
93,0.271409,1.334274,2.567512,3.033855,10.070401,0.830841,1.956241,0.184638
94,0.180852,2.990091,0.024967,3.246634,26.41111,1.194565,0.029539,0.067261
95,0.135884,1.333679,1.701808,0.173988,35.009019,1.090664,1.14449,0.112047
96,0.051288,1.596615,2.74396,2.110053,35.820585,3.435775,1.212657,0.020871
97,0.151988,2.582724,0.804986,3.304496,20.032414,2.342613,0.815653,0.127715
98,0.324132,0.483819,2.744106,0.519819,25.907529,1.695451,0.142147,0.080472
99,0.00476,0.277297,1.552506,3.215298,5.599342,1.718755,1.800448,0.168134
100,0.33724,3.979296,2.204472,0.85921,16.315455,0.17084,0.777043,0.088238
101,0.039629,1.635398,3.052384,2.522415,21.156677,3.365582,0.609387,0.195685
102,0.047778,2.607304,1.353752,2.891272,18.532899,3.561642,0.661907,0.119022
103,0.095507,2.455362,2.310643,0.710565,8.98073,3.605754,0.618198,0.136364
104,0.113238,3.296078,3.967533,3.947519,19.325448,2.978022,1.209861,0.073473
105,0.173764,1.018943,1.832985,0.634875,37.932036,0.928635,1.609566,0.150425
106,0.306938,0.262686,3.186491,3.351028,19.685285,1.636364,1.268641,0.01992
107,0.059406,3.654783,3.130694,0.712317,30.261717,1.928849,0.923831,0.183153
108,0.30924,2.100347,2.247496,3.357801,31.951788,0.692706,1.079028,0.188793
109,0.184423,3.041752,1.636812,2.961711,17.86543,1.737859,1.454269,0.07843
110,0.33242,1.210129,3.01771,0.490333,31.694704,3.77731,1.841448,0.009811
111,0.20179,1.472587,3.533021,1.759482,37.433657,2.490972,1.878636,0.023216
112,0.351052,1.225234,2.05639,2.918875,23.871655,0.72579,1.191031,0.086415
