# nonuniform scaling factors - GNav17: (0.0 0.4) GNav18: (0.0 4.0) GNav19: (0.0 4.0) GKdr: (0.0 4.0) GKA: (0.0 40.0) GKM: (0.0 4.0) GH: (0.0 2.0) GKleak: (0.0 0.2) 
,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
0,0.074203,2.739571,0.838095,0.987172,21.687146,3.590091,0.531577,0.024904
1,0.121542,2.637862,2.863321,1.0665,38.702858,1.631507,0.367874,0.126899
2,0.098151,3.247514,2.965146,2.635742,8.087923,1.917117,0.10199,0.05217
3,0.093651,2.451321,3.776579,0.42002,28.842293,3.85037,0.745164,0.17826
4,0.072512,2.181142,3.730127,2.975453,29.14854,3.9625,0.847409,0.087169
5,0.249982,3.473774,0.561173,1.657055,4.256711,3.386348,0.48334,0.085686
6,0.01881,1.35871,1.755993,1.103379,27.757892,2.205696,0.872571,0.08653
7,0.184217,1.79094,1.978789,3.416896,15.161848,2.509063,0.285239,0.180873
8,0.146319,3.749425,0.250637,0.865247,30.565783,1.623459,1.08865,0.108858
9,0.267933,2.025607,0.645236,3.332517,27.705367,2.736218,0.44872,0.046251
10,0.338547,2.625888,3.154455,2.004857,26.032723,3.47079,1.257166,0.168886
11,0.042252,1.674971,3.184453,2.090482,24.402185,2.672831,1.957304,0.064932
12,0.006639,2.821026,2.278745,3.579522,20.804721,3.308742,0.896109,0.001679
13,0.112629,0.050056,1.89873,3.368514,7.072156,3.209121,0.158506,0.12803
14,0.230122,3.711073,1.100661,2.681225,16.351199,0.865464,0.908749,0.016556
15,0.007403,2.01229,2.948845,2.133396,31.039206,3.237309,1.997005,0.076389
16,0.313755,1.86297,3.655701,0.299698,18.172217,1.495608,0.462597,0.16135
17,0.211661,1.544448,2.318452,0.90602,11.850062,2.399703,1.916238,0.133688
18,0.37751,0.796884,3.419605,0.137434,2.173111,2.760483,1.911659,0.035205
19,0.325082,3.922093,1.805378,0.661518,3.707382,2.192929,0.623693,0.177601
20,0.06861,1.377719,3.575695,0.782582,2.909641,3.407538,1.174599,0.168927
21,0.089324,2.281043,1.29162,3.731303,30.090608,1.447067,0.260288,0.194421
22,0.124227,2.711402,1.751045,2.854682,5.437972,3.36285,0.430946,0.069665
23,0.296523,3.653709,1.861462,0.259929,14.792579,3.256811,1.483688,0.024139
24,0.375365,3.949165,1.450879,1.950536,35.308783,1.167559,0.936467,0.086221
25,0.143274,1.454668,3.988003,1.327848,19.038626,2.239124,1.621174,0.179805
26,0.131796,2.924126,1.158597,1.782697,35.737731,1.067899,0.658005,0.127419
27,0.063434,2.284882,2.143502,3.032022,31.968639,0.089258,1.018365,0.123854
28,0.373585,3.009584,3.060229,0.685826,35.81698,3.339124,1.26004,0.005296
29,0.210583,2.559206,1.407456,0.79947,35.658825,3.593576,1.309212,0.047887
30,0.290365,2.175045,2.042723,0.256122,34.261348,3.152537,1.225364,0.04388
31,0.051448,0.643784,1.187319,3.267205,22.138247,3.417527,1.215056,0.184804
32,0.244729,3.082226,3.012606,1.544006,20.627342,3.960841,1.237648,0.142171
33,0.246356,0.118596,1.661252,2.599092,27.856986,1.612546,0.972481,0.067938
34,0.079743,3.568851,2.375448,2.422774,13.14087,2.405232,1.789328,0.143567
35,0.162193,0.793454,0.858042,3.405637,17.949557,1.91042,0.799848,0.074558
36,0.287562,0.985503,1.794211,0.160673,0.866866,3.89819,1.239423,0.177543
37,0.243231,0.783702,2.781336,2.144173,10.491965,0.964808,1.864246,0.010199
38,0.269226,0.498083,3.28246,3.259268,24.789661,3.335543,0.855393,0.096539
39,0.176655,3.42037,1.915565,2.86067,39.590904,1.933074,1.229651,0.006593
40,0.134828,0.901425,1.670015,2.079954,32.166154,0.129453,1.9159,0.156959
41,0.091202,3.234938,3.361223,0.476249,37.923672,2.476442,1.406526,0.118696
42,0.154811,2.106746,1.285468,2.050804,15.416602,1.272541,1.669004,0.187385
43,0.300474,2.680399,0.310105,1.015393,35.758249,0.948569,0.913214,0.129228
44,0.379773,1.194339,1.947198,0.088145,26.569982,0.523034,0.26582,0.111029
45,0.115875,0.420583,2.179833,2.926112,22.264764,2.20948,0.744525,0.085957
46,0.023612,0.533171,2.189838,0.063161,30.247161,2.633664,0.767977,0.048783
47,0.06181,3.631045,3.495489,3.904715,30.625703,1.851276,1.949286,0.158767
48,0.183072,2.714535,2.412704,1.615762,33.871722,2.897892,1.185679,0.12667
49,0.069341,0.264203,3.70329,3.845036,0.543791,1.892004,1.031882,0.11911
50,0.165889,2.08238,1.265292,0.732734,17.390883,2.66319,1.84455,0.146661
51,0.367916,2.155401,0.338681,2.678831,26.006032,1.740915,0.32994,0.195996
52,0.031369,2.522306,3.915101,3.224283,33.65763,0.604614,1.197271,0.131159
53,0.233385,0.739215,2.753691,0.710823,8.215069,0.53776,1.02246,0.046655
54,0.147025,3.015191,0.42001,2.887199,2.728043,0.221822,1.566011,0.016119
55,0.055903,1.502952,2.595088,0.507144,12.434913,3.915641,1.622603,0.005301
56,0.164597,0.280105,3.227252,0.894077,34.02788,0.405578,1.256316,0.195802
57,0.334157,1.984639,2.782493,3.908129,37.99493,1.312888,0.622595,0.166861
58,0.178685,1.072602,1.852902,2.335629,5.251238,0.772177,0.397593,0.051714
59,0.085662,2.214133,1.641649,2.232469,26.824829,2.643236,0.591382,0.062297
60,0.111384,1.902802,3.2334,1.039706,2.649408,2.304731,1.629218,0.163278
61,0.240429,2.035307,2.901018,0.18359,20.877525,0.662905,0.471149,0.175953
62,0.302708,2.113786,1.643464,1.132389,2.951566,1.078463,1.87258,0.119257
63,0.209567,0.442243,3.404643,1.924948,20.693612,2.929978,1.107461,0.067631
64,0.213835,0.239368,1.149533,2.849064,29.764589,1.306847,1.951058,0.115691
65,0.370238,0.811423,2.379616,3.208073,35.104071,2.51905,1.792191,0.115177
66,0.140664,3.013809,2.746227,3.547947,20.757166,0.399384,0.018478,0.076167
67,0.083185,2.830644,2.980587,0.886812,11.14069,1.499895,1.667523,0.126939
68,0.126947,0.815174,3.711614,3.061669,13.500547,0.09357,0.413869,0.153881
69,0.278721,1.683335,3.744539,3.937309,33.731579,2.574587,0.227353,0.190919
70,0.076415,1.504886,2.32531,3.039857,37.96676,3.747812,1.918169,0.131098
71,0.039945,2.631548,2.366897,2.733298,0.998916,1.284184,0.142214,0.150606
72,0.270715,1.48202,1.231323,2.108126,31.085565,1.754768,1.810158,0.020678
73,0.385709,0.496587,0.654103,2.20884,12.555763,0.690857,0.447492,0.066818
74,0.062723,1.758808,1.987349,3.2963,2.603655,2.05398,0.575015,0.132234
75,0.118962,3.55229,2.394419,1.906502,22.433189,2.955257,1.191206,0.092161
76,0.244556,1.616583,0.407805,1.342479,12.916775,1.725006,0.953845,0.163827
77,0.288373,1.048177,0.198384,0.689995,6.574491,2.872137,1.646091,0.04022
78,0.021204,1.227665,3.586767,0.936445,25.237905,3.118745,1.636651,0.068952
79,0.125085,1.029684,0.652004,2.218101,19.122646,3.547563,1.822538,0.159644
80,0.179187,1.676323,2.731043,2.053421,22.874701,2.817096,0.852014,0.099624
81,0.247383,2.021262,1.009065,1.495621,21.72921,0.472406,0.323698,0.00096
82,0.234045,1.438174,2.854923,3.072446,20.93782,1.10369,0.770508,0.010404
83,0.051025,1.541353,1.189662,3.727568,34.407374,2.303104,1.830098,0.027992
84,0.287212,0.110023,3.713157,2.345078,23.788228,1.653108,0.920203,0.163181
85,0.383958,0.853781,2.820832,0.879711,38.783986,1.678213,0.616096,0.170773
86,0.071987,3.701176,1.827538,3.536057,13.524371,3.510281,0.934955,0.10664
87,0.184818,3.267119,1.721341,2.828072,10.002504,3.081375,0.78843,0.095508
88,0.169269,3.437031,1.73283,2.388595,25.575453,2.421608,1.446192,0.160099
89,0.379332,1.209446,0.35645,2.954525,32.873274,2.044964,0.23702,0.092333
90,0.310968,1.538531,2.631112,1.563541,23.452053,3.577648,0.06408,0.010252
91,0.005938,0.056706,0.89294,0.021042,12.582376,2.126145,0.402212,0.198719
92,0.033431,3.205712,2.400186,1.71574,26.961284,0.521978,1.752205,0.17255
93,0.376134,3.141548,3.11168,1.175476,9.742428,1.629034,0.4145,0.077081
94,0.339447,1.63247,2.710308,0.723986,26.189743,2.287539,0.405972,0.168265
95,0.0862,0.942588,2.91609,1.480158,5.487537,2.22915,1.15323,0.174765
96,0.124136,2.421328,0.877795,0.239889,12.88681,1.782414,1.02003,0.033372
97,0.343768,0.229802,2.497258,3.400543,22.456536,1.138148,0.072092,0.08348
98,0.105556,0.827432,3.086585,1.140507,18.299604,0.700197,1.391002,0.056014
99,0.047031,1.622071,1.554878,1.882576,8.970665,0.514189,1.973496,0.036026
100,0.264886,1.446653,3.112221,2.182712,13.753437,2.028944,1.318258,0.174915
101,0.100482,0.748507,3.388119,1.706896,34.92621,3.645116,0.65416,0.054587
102,0.271934,1.753936,3.396055,3.484091,22.387347,0.321568,0.236921,0.140456
103,0.25146,2.452292,1.269242,0.75107,11.135764,3.428198,1.477466,0.162732
104,0.224948,3.154077,0.373585,2.032056,22.523455,2.987552,0.697955,0.131305
105,0.181639,3.692408,2.912373,3.943996,37.84457,3.064768,1.677541,0.102022
106,0.252437,2.891968,2.447088,0.571332,30.506056,2.440318,1.48204,0.178032
